name_possible_match,category_possible_match,street_address_possible_match,zip_code_possible_match,name_snap_wic,category_snap_wic,street_address_snap_wic,zip_code_snap_wic,distance,snap_wic_index,possible_match_index,is_match,new_category,closed_possible_match,closed_snap_wic,duplicate_snap_wic
Super Save,Supermarkets, ,,SUPER SAVE MARKET,Stores that Accept SNAP/WIC,4517 3rd St,94124,22.37521255,108,328,x,supermarket,,,
U-Save Liquor & Grocery,Corner Stores,399 Crescent Avenue,94110,Richland Market,Stores that Accept SNAP/WIC,648 Andover St,94110,75.30421962,109,146,,corner store,,,
New College Hill Market,Corner Stores, ,,49ERS LIQUORS & GROCERIES,Stores that Accept SNAP/WIC,3701 Mission St,94110,148.1670024,110,55,,corner store,,,
Cao Kee Market,International Grocery Stores, ,,King Poultry And Produce,Stores that Accept SNAP/WIC,758 Broadway,94133,48.4796626,111,126,,International Grocery Stores,,,
Corner Store,Corner Stores, ,,Holloway Market Llc,Stores that Accept SNAP/WIC,150 Holloway Ave,94112,10.83972645,112,117,,corner store,,,
Kim Huong,International Grocery Stores, ,,Tenderloin Market And Deli,Stores that Accept SNAP/WIC,200 Leavenworth St,94102,127.9585833,113,135,,corner store,,,
Frank's Market Liquor,Corner Stores, ,,San Francisco Farmers Market,Stores that Accept SNAP/WIC,4929 Mission St,94112,280.8906819,114,53,,supermarket,,,
Serw-Well,Liquor Stores, ,,Serve Well Market Inc,Stores that Accept SNAP/WIC,595 Ellis St,94109,6.223743053,115,286,,corner store,x,,
El Chico Market #4,International Grocery Stores,2965 24th St,94110,Maurice's Corner,Stores that Accept SNAP/WIC,3046 24th St,94110,137.2526833,116,206,,corner store,,,
Tigers Liquors,Corner Stores,2400 Clement Street,,25th & Clement Produce Market 1,Stores that Accept SNAP/WIC,2354 Clement St,94121,55.25402332,117,153,,supermarket,,,
Charming Sun Market Inc,International Grocery Stores,49 Walter U Lum Place,,Miss Q's Convenience Llc,Stores that Accept SNAP/WIC,838 Washington St,94108,106.0556318,118,107,,corner store,,,
Oak Gourmet,Corner Stores, ,,Oak Hill Market,Stores that Accept SNAP/WIC,497 Oak St,94102,12.92032133,119,138,x,supermarket,,,
Island Market & Deli,Corner Stores, ,,Island Market & Deli N/A,Stores that Accept SNAP/WIC,1 Avenue Of The Palms Ave,94130,74.41960195,120,169,x,corner store,,,
Aguila de Oro,International Grocery Stores, ,,Saba Live Poultry 2,Stores that Accept SNAP/WIC,1526 Wallace Ave,94124,487.4610073,121,366,,--,x,,
D&M Wine and Liquor,Liquor Stores, ,,California Shell 156,Stores that Accept SNAP/WIC,2501 California St,94115,215.4082747,122,300,,corner store,,,
Mission Silver Market,Corner Stores, ,,Rank Quickserve,Stores that Accept SNAP/WIC,4199 Mission St,94112,247.3206385,123,54,,corner store,,,
Safeway,Supermarkets,2300 16th Street,94102,Costco 144,Stores that Accept SNAP/WIC,450 10th St,94103,462.054245,124,321,,supermarket,,,
Eddy's Market,Corner Stores,951 Irving Street,94122,Andronicos Community Markets 2452,Stores that Accept SNAP/WIC,1200 Irving St,94122,249.3135337,125,91,,supermarket,,,
Pacific Super,International Grocery Stores, ,,Anas Market,Stores that Accept SNAP/WIC,105 Broad St,94112,342.9389262,126,335,,corner store,,,
Victoria Liquor & Groceries,Liquor Stores,201;207 Gough Street,,GROVE STREET MARKET,Stores that Accept SNAP/WIC,500 Grove St,94102,329.4488111,127,224,,corner store,,,
Daldas Market,Supermarkets, ,,Tip Top Market,Stores that Accept SNAP/WIC,90 Turk St,94102,119.3047668,128,358,,corner store,,,
F & G Grocery,Corner Stores, ,,BI-RITE,Stores that Accept SNAP/WIC,3639 18th St,94110,353.5241344,129,80,,supermarket,,,
Lucky,Supermarkets,1515 Sloat Boulevard,94132,Lucky 755,Stores that Accept SNAP/WIC,1515 Sloat Blvd,94132,131.0899775,130,309,,supermarket,,,
Roxie Food Center,Corner Stores,1901 San Jose Avenue,94112,Roxie Food Center Sf,Stores that Accept SNAP/WIC,1901 San Jose Ave,94112,17.67486482,131,141,x,corner store,,,
Aguila de Oro,International Grocery Stores, ,,FRIENDLY LIQUOR,Stores that Accept SNAP/WIC,1499 Thomas Ave,94124,284.2581563,132,366,,Liquor Store,x,,
Fox Market,Corner Stores, ,,GLADSTONE MARKET,Stores that Accept SNAP/WIC,678 Eddy St,94109,129.1217347,133,128,,corner store,,,
Fulton Food Shop,Corner Stores, ,,Central Park Liquors,Stores that Accept SNAP/WIC,1900 Hayes St,94117,236.8383645,134,49,,Liquor Store,,,
Bayview Liquors,Liquor Stores, ,,BAY VIEW LIQUOR,Stores that Accept SNAP/WIC,4700 3rd St,94124,11.28991469,135,274,x,Liquor Store,,,
Foodhall,Corner Stores,3100 16th Street,94103,Randa's Market,Stores that Accept SNAP/WIC,3131 16th St,94103,50.11191736,136,20,,corner store,,,
